num_samples,duration,offset_seconds,window_seconds,analysis_sample_rate,analysis_channels,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,code_version,echoprint_version,synch_version,rhythm_version,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,id
4975506,225.64653,0,0,22050,1,0.12213,218.91193,-2.196,116.067,0.799,4,0.99,5,0.697,0,0.553,3.15,4.12,1.0,1.0,0.00174,0.583,0.93,0.0,0.364,0.0669,0.18,3ML8dNxKfAWCtM9RF6osTE
4496733,203.93347,0,0,22050,1,2.25234,198.5132,-4.591,114.989,0.571,4,0.952,6,0.344,1,0.467,3.15,4.12,1.0,1.0,0.00698,0.653,0.818,0.0089,0.144,0.0286,0.155,64ZM9Ynl5ICN95ZMpbI1Kf
5350464,242.65143,0,0,22050,1,0.1219,238.93913,-4.718,119.984,0.713,4,1.0,7,0.955,1,0.883,3.15,4.12,1.0,1.0,0.0551,0.717,0.783,0.0,0.126,0.182,0.635,41UysCUi6q9DW8bio4nXlF
5257184,238.42104,0,0,22050,1,0.26122,230.62059,-7.589,113.985,0.826,4,1.0,7,0.299,1,0.515,3.15,4.12,1.0,1.0,0.00212,0.558,0.654,0.0103,0.139,0.0487,0.431,4vFrzXim0Gtjjrljm3cTkv
4571994,207.34666,0,0,22050,1,0.44122,202.1181,-5.439,76.422,0.337,4,1.0,4,0.496,0,0.522,3.15,4.12,1.0,1.0,0.26,0.548,0.658,0.0,0.108,0.0422,0.313,0msqE0RDLK4cbyQGRI81cr
5908224,267.94666,0,0,22050,1,1.01556,262.25198,-5.182,104.881,0.863,4,1.0,9,0.339,1,0.402,3.15,4.12,1.0,1.0,0.00513,0.685,0.948,0.00347,0.17,0.0457,0.628,0YYbQESOOReEZjVzbYJtMC
5623926,255.05333,0,0,22050,1,0.0,246.87456,-7.564,188.012,0.238,4,1.0,0,0.498,1,0.671,3.15,4.12,1.0,1.0,0.028,0.48,0.786,0.0,0.274,0.0447,0.503,7eBky33UQEUKp0sNhcU6rW
5654522,256.44092,0,0,22050,1,0.38385,238.49796,-4.523,94.52,0.167,4,1.0,10,0.468,1,0.418,3.15,4.12,1.0,1.0,0.041,0.589,0.867,0.0,0.306,0.0385,0.795,4tK4ARuilOrBzwVQK73E0Y
6433896,291.78668,0,0,22050,1,0.378,280.86856,-4.976,100.191,0.797,4,1.0,2,0.073,1,0.401,3.15,4.12,1.0,1.0,0.00327,0.455,0.765,3.34e-05,0.316,0.0276,0.38,6PI6pRqxDM6PlSdi4IvJEx
4683725,212.41383,0,0,22050,1,0.3424,208.09723,-1.288,174.023,0.523,4,0.804,7,0.412,1,0.6,3.15,4.12,1.0,1.0,0.0516,0.462,0.943,0.000118,0.203,0.0401,0.685,3zW4sW9zklXUCdccgCO14i
4994415,226.50407,0,0,22050,1,2.94313,222.33107,-2.046,173.819,0.045,4,1.0,9,0.702,0,0.612,3.15,4.12,1.0,1.0,0.205,0.426,0.896,0.000145,0.349,0.0368,0.389,754GSpe0cvyEnM6HBKe1Nr
4320680,195.9492,0,0,22050,1,0.24381,190.80998,-2.44,173.996,0.606,4,0.73,1,1.0,0,0.768,3.15,4.12,1.0,1.0,0.272,0.505,0.926,0.00315,0.0443,0.0491,0.805,00At7PWydsvg7g5xgaYan9
4176564,189.41333,0,0,22050,1,0.13941,185.21977,-5.797,123.013,0.973,4,1.0,9,0.203,0,0.323,3.15,4.12,1.0,1.0,0.024,0.763,0.875,5.41e-06,0.599,0.0262,0.8,5fnA9mkIfScSqHIpeDyvck
4668720,211.73334,0,0,22050,1,4.14476,205.67654,-2.662,127.957,0.834,4,0.939,11,0.614,0,0.629,3.15,4.12,1.0,1.0,0.0478,0.547,0.95,0.0,0.0738,0.0667,0.711,6h7mzyelWObeWg5xokKj3c
5011230,227.26666,0,0,22050,1,2.5658,222.27882,-4.123,128.033,0.84,4,0.669,2,0.885,0,0.838,3.15,4.12,1.0,1.0,0.211,0.646,0.823,0.0,0.322,0.0394,0.42,70CuZJtPDdCD3cphDDhjJq
4408704,199.94122,0,0,22050,1,0.31383,195.87193,-3.806,174.084,0.395,4,1.0,9,0.066,0,0.166,3.15,4.12,1.0,1.0,0.379,0.528,0.852,0.0,0.153,0.0984,0.531,4jdIE0pb1OZuQPesipKUM4
4947726,224.38667,0,0,22050,1,0.11011,216.5493,-6.099,83.998,0.424,4,1.0,0,0.466,1,0.51,3.15,4.12,1.0,1.0,0.279,0.717,0.749,0.0,0.227,0.219,0.606,6tvTpuBXFU49ZMXDqWf1nE
5434165,246.44739,0,0,22050,1,0.12762,231.89769,-0.755,113.707,0.729,4,0.995,11,0.494,0,0.454,3.15,4.12,1.0,1.0,0.0665,0.55,0.875,0.0,0.658,0.3,0.291,2E01JGJGMa5gW1PmqAWYXG
4340774,196.8605,0,0,22050,1,0.1229,192.83011,-2.67,128.979,0.843,4,1.0,8,0.344,1,0.428,3.15,4.12,1.0,1.0,0.0216,0.651,0.949,0.0,0.335,0.204,0.829,7D1yB89FqsjPqOrUSpwIAO
4450572,201.84,0,0,22050,1,0.29011,198.07782,-8.431,203.977,0.026,4,1.0,6,0.523,1,0.495,3.15,4.12,1.0,1.0,0.0493,0.626,0.546,0.0339,0.289,0.0925,0.253,5T6hai5yeaakZcs1QE8rFD
